code,year,type,subtype,fatalities,location,source,description
,1829.05,riot,labor,1,"Nanticoke, PA",Gilje,"May: Near the town ""foreigners"" employed on the North Branch canal rioted. One man was killed, several were beaten. Some of the ringleaders escaped, others were captured.	"
,1829.08,riot,labor,1,Baltimore,Gilje,"August: Several disturbances by laborers at B+O railroad. On Friday Aug. 14 one man was killed near city, several wounded. On Sunday rioters ransacked the dwelling of Thomas Elliott, one of the contractors.	"
,1829.08,riot,race,1,Cincinnatti,Gilje,"August: In an attempt to enforce an ordinance driving all blacks out of town, a mob attacked the dwelling houses of blacks, breaking windows and on Thursday and Friday night. On Saturday night a group of blacks armed themselves. When the whites attacked, a gun was fired, killing Ely Herricks, a young man. Ten blacks and seven whites were arrested that night and the mayor, on Sunday morning, issued a proclamation calling all good citizens to assist the constituted authorities in preserving the public peace.	"
,1829.09,riot,race,1,"Marrieta, PA",Gilje,"September: Riots at the Banbridge Races between canal workers and the visitors to the races. A black was killed, another man had his leg so battered by a musket shot that it had to be amputated. Others were wounded. A court case is to follow. Those workmen involved are to be dismissed from further employment on the line.	"
X,1830.00,war,indian,1,Georgia,DNI 1830.02.25,Whites vs. Cherokees
,1830.09,riot,ethnic,1,"Dunnstown, PA",Gilje,"September: Canal workers riot in dispute with local Germans over apple picking. One killed.	"
,1831.00,riot,extralegal,4,"Pope Co., IL",Gilje,"A mob of ""honest"" citizens attacked a fort erected by a gang of horse thieves, counterfeiters, and robbers, using small arms and artillery. Three criminals were killed, as was one vigilante.	"
D,1831.09,riot,race,5,"Providence, RI",HC_1831_10_04.pdf,Olney street riot
,1831.09,riot,race,5,"Providence, RI",Gilje,"September: Olney street riot - Began as a fight in a dance hall in which one black beat 5 whites. Spilled out into street as black and white sailors fought one another with the blacks driving the whites out of the neighborhood on the 21st. Next night whites returned, destroying two houses. A black fired on the whites, killing one. The rioting continued. On the 23rd, 25 militiamen were routed by rioters. On the 24th, two militia companies fired on rioters, killing 4.	"
,1833.08,riot,labor,1,"Pennsylvania	",Gilje,"August: German canal worker, Charles Hickenbottom, murdered by about 20 other canal workers. One worker had been dismissed, 20 of his fellow workers quit in sympathy. They then went down to the canal about one mile and attacked Hickenbottom. 11 arrested and charged with murder. Five charged with A+B and riot.	"
,1833.12,riot,ethnic,1,Charleston,Gilje,"December: A group of drunken Irish beat a native American to death. Next night 500 activists marched on Irish. Troops called, but stood helplessly as several houses were destroyed.	"
,1833.12,riot,religion,6,"Jackson Co, MO",DNI 1833.12.07,"2 citizens and 4 Mormons killed, a number wounded"
,1834.00,riot,political,1,"Moyamonsing, PA",HC_1834_10_20.pdf,"Whigs against Jacksonians. ""it appears that several individuals were seriously injured and perhaps one or more killed"""
,1834.01,riot,,10,"Williamsport, MD",HC_1834_02_03.pdf,"The riot among the laborers on the Chesapeake and Ohio Canal. Fighting among the Corkonians, Fardouns, and Longfords."
,1834.03,riot,labor,5,New Orleans,Gilje,"March: Faction fight among canal workers. Several killed. (??) guards ordered out.	"
X,1834.04,riot,political,?,NYC,HC_1834_04_14.pdf,
,1834.06,riot,ethnic,4,Maryland,Gilje,"June: Laborers on Washington railroad rioted. Fight was between Irish factions and four persons were killed. 30 or 40 rioters arrested. Militia from Baltimore ordered out to quell riot. Factions: Fardowns and Corkeans - one of those killed was a woman.	"
X,1834.07,riot,"race, extralegal",0,NYC,HC_1834_07_14.pdf,The Anti-Slavery Society. Attack on Arthur Tappan's store. Farron of the Bowery Theater. Destruction of black-owned houses.
,1834.08,riot,race,2,Philadelphia,Gilje 1996:89,"August: White mob begins by attacking ""flying horses"" amusement establishment that had been used by blacks and whites. But then turned to assaults on blacks and their property for three nights. Two churches and over 30 houses destroyed, damaged, or looted. One black died from the wounds inflicted during beating. 100s flee. Authorities use militia, etc., to quell the riot along Philadelphia."
,1834.10,riot,political,1,Philadelphia,Gilje,"October: Election riots. Jackson men in Moganensing driven from polls. Then whigs took Jackson headquarters, destroying two tents and cutting Jackson hickory tree. Later reinforced, Jackson men attack whig HQ on NE corner of Christian and Mostcalm sts. Whigs fired upon them wounding 15 or 20 - one later died. Enraged, Jackson men stormed the building and drove the whigs out. They set fire to the whig pole - iron bends prevented efforts to drop it down, and the fire spread to nearby houses. When firemen arrived, Jackson men beat them and prevented them from downing the flames.	"
D,1834.11,riot,labor,2,Maryland,HC_1834_12_08.pdf,on the Rail Road between Baltimore and Washington two sub-agents were recently murdered by laborers
,1834.11,riot,"ethnic, labor",3,Maryland,Gilje,"November: Baltimore and Ohio railroad workers - mainly Catholic Irish - riot. Troops called in from Washington DC. Grimsted says this riot included battle between Protestants and Catholics.  Scharf says attack focused on contractor. Indeed, contractor's house attacked and he was beaten. Next day superintendent John Watson and two others killed. 300 Irish laborers arrested.	"
,1835.00,lynching,extralegal,1,"Lynchburg, VA",Gilje,"Summer: An Englishman charged with being an abolitionist hanged.	"
D,1835.06,riot,ethnic,1,NYC,HC_1835_06_29.pdf,Nativist riots in NYC between Irish and Native Americans. A Dr. McCafferty later died of injuries
,1835.06,riot,ethnic,1,NYC,Gilje,"June: Five Point riot between ""Americans"" and foreigners. Police quell. Dr. W.M. Caffrey killed and Justice Lowdnes wounded. Foreigners the Irish - if this is the same riot reported by Billington. Rioters gutted a tavern. Shots fired.	"
,1835.07,lynching,race,1,"Hinds Co., MS",Gilje,"July: Slave insurrection scare infects county and several committees form. When two leading committeemen allowed suspects to go free because of lack of evidence, one, William L. Sharken, came under mob attack. On night of July 6 an armed band from Madison Co. attempted to capture Sharkey. They tried again, but Sharkey defended himself, killing one.	"
,1835.07,lynching,race,3,"Livingston, MS",Gilje,"July: Mob summarily hanged the slaves who had been suspected of organizing a conspiracy. Also seized two white ""steam doctors"" and organized a committee to deal with insurrection. They elicited a confession from one of the whites.	"
,1835.07,lynching,race,2,"Livingston, MS",Gilje,"July: Two whites seized, sentenced by committee to be hanged. Both were executed."
,1835.07,lynching,race,1,"Livingston, MS",Gilje,"July: Fear of slave insurrection swept the state. The Livingston vigilance committee seized a poor man who had brought a load of corn to sell in Yazoo. Despite the efforts of Henry Foote, the comm. Hanged the man on the testimony of 3 secured blacks.	"
,1835.07,riot,extralegal,6,"Vicksburg, MS",Gilje,"July: Argument between gambler and citizen triggered action against gamblers. When the gambler returned armed, apparently to kill the citizen, the crowd seized the gambler, tied him to a tree, whipped him, tarred and feathered him, and banished him. Next day citizens ordered all gamblers out of town. A search of gambling houses on the 6th led to more rioting. Besides destroying tables etc., some gamblers defended one house - rest had been abandoned. During the gun battle one citizen was shot and killed. The five gamblers were seized and hanged by the crowd.	"
D,1835.08,riot,political,5,Baltimore,HC_1835_07_17.pdf, Bank riot. 4 killed and 20 wounded. Riot following failure of the Bank of Maryland.
,1835.08,riot,political,5,Baltimore,Gilje,"August: Bank riot. On the evening of the 6th only a few windows broken as crowd was angry at rich investors because of the apparent failure of the bank of Maryland. Similar actions occurred on the night of the 7th. More serious rioting broke out on Saturday the 8th and mayor's guard, after fighting with clubs, fired into the crowd, killing five and wounding many more. But the rioting continued and the Mayor's guard left town. Six houses sacked between Saturday and Sunday. Voluntary guard under Samuel Smith finally gains control on Monday.	"
,1835.08,riot,political,1,"Post, AR",DNI 1835.09.02,"Pierre Jardeleau, a spectator, killed by a chance shot. One other shot through the legs and cut in several places. Guns and knifes used by combatants."
,1835.10,riot,extralegal,1,"Vergennes, UT",Gilje,"October: Bawdy-house riot. 20-30 men break into house run by local madame. She had been charged with keeping a house of prostitution and wanred to leave several times. As the mob was breaking down the door, someone shot a gun from inside. One man was killed. No other resistance. House quickly leveled. Madame and male employee arrested.	"
,1836.04,riot,race,3,Cincinatti,Gilje,"April: Fist fight between black and white boys triggered riot. White mbos invaded black neighborhood, set fire to houses, beat blacks and forced some to flee. Governor declared martial law, but not before several blacks killed.	"
,1836.04,lynching,race,1,St. Louis,Gilje,"April: Francis L. McIntosh, a black steamboat hand from Pittsburgh, killed a deputy sheriff and wounded another peace officer in resisting arrest. Overpowered McIntosh was placed in jail. But a mob took him from jail and burned him alive. A judge excused those arrested saying that they had been caught up in the ""electric frenzy"" of abolitionism.	"
,1836.08,lynching,race,1,"Helena, Ark",Gilje,"August: Mob hangs a black for stabbing a white during a fight.	"
,1837.10,lynching,race,1,"Vicksburg, Miss",Gilje,"October: Lynch law - ""One man has been dragged from the bosom of his family and so maimed and mutilated as to become an object of horror and pity; another was forced from his house and hung upon the next tree; and on Sunday the 24th an old man named Grace, formerly of Warrington, Va, was tried and acquitted before a magistrate, charged wtih giving free passes to negroes. The lawful decision did not satisfy the mob. He was stripped and flogged within hearing of the shrieks of his wife and children.""	"
,1837.11,riot,extralegal,1,"Alton, IL",HC_1837_11_28.pdf,Elisha Lovejoy killed while defending his press for a 4th time.
,1838.00,riot,ethnic,2,Baltimore,Gilje,"Battle between Union Fire Company and New Market Fire Company led to two deaths.	"
,1838.03,riot,labor,10,"Michigan Canal, IL",Gilje,"March: Dispute over firing workers leads to riot. Militia ordered in. Ten killed.	"
,1838.06,riot,race,2,Philadelphia,Gilje,June: Insane black man killed a watchman. After the funeral a crowd gathered and threatened black neighborhood. Mayor successfully discouraged them. But that evening black homes were attacked. During fighting another white man stabbed to death.
,1838.10,riot,religion,4,"Crooked River, MO",Gilje,"Battle of the Crooked River. October: Mormons attack party of Missourians who had captured three Mormons. Mormons charged and routed opponents. But lost three dead - including leader David Patten and several wounded. Missourians lost 1 dead.	"
,1838.10,riot,religion,18,"Haun's Mill, MO",Gilje,"Haun's Mill Massacre. October: Approximately 240 men from several counties, including several big shots, attacked a Mormon community, killing 18 or 19 people - largely men and boys. Missourians in state militia. Baily says out of 38 men and boys, 17 killed and wounded. Several of the dead were killed after caputre and were wounded already."
,1839.00,riot,extralegal,4,"Bellevue, Iowa",Gilje,"Gun battle between sheriff and his posse against a gang of crooks. Good guys win, but lost four men. They therefore try captives (13 total, 7 had escaped, and others killed): white beans for lounging,"" red beans for whipping - red beans won. This was an extra legal effort. 1839-40	"
,1839.08,riot,ethnic,1,"Little Orleans, MD",Gilje,"August: Irish workers fight with Germans. This involves canal workers. One dead. Militia ordered in, arrests and imprisonments.	"
X,1840.00,riot,extralegal,4,"Pope County, IL",Gilje,1840s. Regulators attack stronghold of counterfeiter by the name of Sturdevant. Some sort of battle erupted. As many as three counterfeiters and one regulator killed. 
,1840.04,riot,extralegal,3,"Bellevue, Iowa",Gilje,"April: Sheriff leads posse in attack on Brown's hotel and gang of thieves. Gun battle unsues. Unclear what authority used. Several killed. Afterward posse takes law into own hands and horsewhips captured bandits.	"
,1840.10,riot,ethnic,1,"St. Louis, MD",Gilje,"October: Ethnic rioting led to the death of at least one person.	"
,1840.11,riot,education,1,"Charlettsville, VA",Gilje,"November: University of Va riot. Students shoots and kills J. Davis, an eminent Va legal scholar.	"
,1841.06,lynching,extralegal,2,"Ogle Co., Illinois",Gilje,"June: Regulators take three captured horse thieves and suspected murderers - Wm. Driscoll and two sons, out of jail. The Driscolls were accused of shooting the Regulator captain John Campbell. They held a trial, sentencing two to death. At the prisoners' request, they shot the man instead of hanging.	"
,1841.07,riot,labor,1,"Carrollton, LA",Gilje,July: Mostly German ropewalk workers beat manager to death and severely injured two others while they investigated charges that the workers had treated brtually a crippled worker.
D,1841.08,riot,race,7,"Cincinnati, OH",HC_1841_09_10.pdf,"A fight between few negores and whites, a crowd of 2-3K attacking negro houses, using a cannon. Both black and white deaths."
,1841.08,riot,race,7,"Cincinnati, OH",Gilje 1996: 90,"August: Several days of fighting between whites and blacks. Blacks wound several whites. On the 3rd night as many as 1800 whites invade black neighborhood. Blacks fire on them and the whites used a cannon to get blacks. At 2:00am militia establish cease fire. Officials convince blacks to surrender arms, and promise that their homes and families would be protected, 200-300 blacks surrender to authorities, mob ignores officials and attacks black houses, church."
,1841.10,lynching,extralegal,2,"Shelbyville, TX",Gilje,"October: 300 Regulators under Watt Moorman held ""trial"" for three members of McFaddin family for murder of Charles Jackson (McFaddin house had been burnt by Jackson earlier). Two oldest McFaddin hanged. Other murders committed by Regulators at this time."
,1842.04,riot,political,3,NYC,HC_1842_04_14.pdf,3 or 4 were wounded so badly none are expected to survive
,1842.08,riot,ethnic,1,"Cincinnati, OH",Gilje,"August: Rioting broke out after a parade of German military companies when one of the officers killed a boy who was annoying him.	"
,1844.05,riot,ethnic,1,Philadelphia,Gilje,"May: Anti-Irish violence. Begun over Bible dispute. Erupts in Kensington. Nativist meeting after rainstorm attempts to use local market. Irish resist, and a neighborhood battle erupted. Death of George Shiffler anger nativist crowd. Mayor's attempts to quell disturbance failed. Militia and special police used.	"
,1844.06,lynching,religion,2,"Carthage, Illinois",Gilje,"June: Mob broke into jail and shot Joseph Smith and his brother Hyrum. Wounded another Mormon leader. They had been arrested for the destruction of the Nauvoo Expositor.	"
D,1844.07,riot,ethnic,14,Philadelphia,HC_1844_07_11.pdf,"The Philadelphia Nativist Riots (""Bible RIots"")"
,1844.07,riot,ethnic,14,Philadelphia,Gilje,"The Philadelphia Nativist Riots (""Bible RIots""). July: Anti-Irish violence - deaths and injuries. In Southwark. Starts with threat to Catholic church. Militia attempts to defend. Battles ensue with mob and militia. Mob has cannons at times. A total of 14 killed on both sides.	"
,1844.08,riot,extralegal,20,"Shelbyville, TX",Gilje,"August: Big Texas battle involving at least 100 men on both Moderator and Regulator side. Estimates vary - some say Regulators lost 15 in killed and wounded, Moderators 6 wounded. Regulators say 16 Moderators killed, 2 Regulators.	(??) 10 "
,1844.09,riot,religion,1,Western Illinois,Gilje,"September: Raid and counter-raid between Mormons and opponents. Some 150 Mormon homes and farms burned. Mormons retaliate, including gun battle where one anti-Mormon was killed.	"
,1845.08,riot,economic,1,"Andes, NY",Gilje,"Antirent War. August: Sheriff Greene Moore of Delaware Co., attempted to hold an auction at the Earle farm in a rent related controversy. A large contingent of ""Indians"" - anti-renters - opposed him. In the scuffle that ensued, an ""Indian"" shot and killed Osman Steele, a deputy Sheriff.	"
,1847.06,riot,race,1,"Carlisle, PA",Gilje,"June: Crowd of blacks rescue two fugitive slaves taken to the court house by slave catchers. Attempts were made in the court house and in the street. Stones, clubs, and canes used. Slave owner knocked down by stones, injured and subsequently died.	Katz. Resistance at Christians, p.50-51"
X,1847.07,riot,?,0,"Annapolis, MD",HC_1847_07_10.pdf,"""It is feared that injuries of several will prove fatal"""
,1849.00,riot,ethnic,1,San Francisco,Gilje,"Summer: Company of veterans called ""the Hounds"" attack hispanics from Chile, Peru, and Mexico. At least one killed."
D,1849.05,riot,political,22,NYC,HC_1849_05_16.pdf,Astor Place Riot. 
,1849.05,riot,political,22,NYC,Gilje,"Astor Place Riot. May: Long-time feud between William C. MacReady and Edwin Forrest led to major theater riot. When MacReady attempted to act MacBeth he was not only shouted offstage, but the crowd outside began to riot. Troops were brought in. Fired once over heads, but then had to fire directly into crowd. 22 died, 48 wounded. 50 to 70 police injured. Next night protest against force easily quelled. Some 300 police and 200 state militia involved."
D,1849.06,riot,ethnic,1,Philadelphia,HC_1849_06_19.pdf,Firemen Riot in Philadelphia. 1 or 2 killed
,1849.06,riot,ethnic,1,Philadelphia,Gilje,"June: Fire purposefully set so a gang could attack Franklin Hose company on its way to the fire. That night the Franklin Hose company retaliated, attacking the Moyamensing Hose. Shots exchanged, one man killed, 9 or 10 wounded."
,1849.07,riot,?,3,"Massac Co., Il",Gilje,"July: Flatheads and Regulators fight at Linn Farm. Two flatheads killed and four wounded. One regulator killed and two wounded.	"
,1849.09,riot,political,8,"Yellowville, AR",HC_1849_09_26.pdf,Sheriff's attempt to arrest some desperadoes cause a gunfight. 8 killed. A large party has fortified themselves to resist the authorites
D,1849.10,riot,"race, political",4,Philadelphia,HC_1849_10_12.pdf,"California House (a pub), kept by a mulatto married to a white women, was attacked and burned. Crowds of whites and blacks exchanged shots. One man was shot through the heart. Army was called. The riot conitued on the next day."
,1849.10,riot,"race, political",4,Philadelphia,Gilje 1996:89,"October: Post-election riot at the California House pub led to race fighting leaving several blacks and whites dead. Fire set to California House spread to several other buildings. Rioters fight firemen. Two firemen killed, one Irishman, and one black boy. At least nine whites and 16 blacks injured. Blacks attempted to fight back at California house and elsewhere. Militia called out to quell riot."
,1850.00,lynching,race,1,"Culpepper, VA",Gilje,"A black named William Grayson was accused of murdering a white. He was convicted by a local court, but while awaiting appeal, a mob seized him and hanged him. He turned out to be innocent."
,1850.01,riot,ethnic,1,"Poughkeepsie, NY",HC_1850_01_30.pdf,"Irish riot, the cause unknown. The military were called out and 7o rioters arrested. One man was shot and is not expected to survive. "
,1850.08,riot,?,1,Baltimore,HC_1850_07_08.pdf,"Spring House, near Baltimore, was stoned and several shots fired. A boy, George Robinson, was thought to be fatally wounded. Another boy and a man were beaten."
,1850.08,riot,labor,2,NYC,Gilje,"August: Striking tailors ransack a store that made non-union clothing. Police intervened and a general battle ensued. Two strikers fatally wounded, others seriously injured. 32 German tailors arrested and ultimately plead guilty to A+B. Fines levied ranging from $5 to $50."
D,1850.08,riot,economic,5,"Sacramento, CA",HC_1850_09_23.pdf,"Confluct between squatters and other citizens. Several persons killed on both sides, including the Nayor of the city and the President of the Squatters Association. The town was burned"
,1850.08,riot,economic,5,"Sacramento, CA",Gilje,"August: A party of 40 squatters attempted to regain possession of property one of their number had been evicted from. The sheriff and his men opposed them. A gun battle ensued. At least two died and several wounded. On the next day, when the sheriff attempted to arrest several of these rioters at a hotel, another gun battle erupted. The sheriff was killed, while two squatters perished.	"
,1850.11,riot,ethnic,5,Pittsburgh,HC_1850_11_27.pdf,A riot among the Irish. 5 or 6 killed. The Sheriff with two military companies called.
,1851.00,lynching,ethnic,4,San Francisco,Gilje,"Summer: Committee of vigilance examined 91 people - most from Australia. 41 were discharged, 15 handed over to authorities, 14 deported from California, 14 advised strongly to leave, 4 were hanged. One man, a Mexican, was flogged.	"
X,1851.02,riot,?,?,Baltimore,HC_1851_02_10.pdf,"""A riot took place this afternoon in the western section of the city. A man not engaged in the riot was shot through the body."""
,1851.05,riot,ethnic,2,Hoboken,HC_1851_05_29.pdf,"Fighting between Germans and ""Short Boys"" and other organized bands of rowdies"
,1851.06,riot,,1,Philadelphia,HC_1851_06_18.pdf,"A keeper of the public house and 3 of his assistants were severely beaten, one is not expected to survive. 17 of the rioters were arrested."
,1851.06,lynching,extralegal,1,San Francisco,Gilje,"June: After a merchant caught an Australian thief robbing his safe, a group of merchants held a vigilante trial, found the man guilty and hanged him. One of the leaders cried, at the moment of execution, ""Every lover of liberty and good order lay hold of this rope.""	"
,1851.07,lynching,ethnic,1,"Downieville, Ca",Gilje,"July: Miners lynched a Mexican woman because she was an ""evil body who corrupted innocent young American men."""
,1851.08,lynching,ethnic,2,San Francisco,Gilje,"August: Vigilantes ""rescue and murder two prisoners."""
,1851.09,riot,race,1,"Christiana, PA",HC_1851_09_16.pdf,"Pennsylvania Negro Riot. Gorsuch with sons attempted to recaputre his fugitive slave. 100-200 Negroes resisted. Gorsuch was killed, and one of his sons is not expected to survive"
